Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Peach,Prunus persica,,Tree,Non-native,No,Fruit,Small Tree,Full Sun,Dry–Mesic,Short-lived fruit tree,https://inaturalist-open-data.s3.amazonaws.com/photos/188900677/medium.jpeg,,Anchor,N,Small,3 - OK,4 - Strong,3 - OK,2 - Marginal,2 - Marginal,1 - Don't Use,3 - OK,No,No,No,No,Tree,15,green,high,high,high,no,no,no,sensitive,avoid,avoid,July,August,Fruit mid-summer,400,Needs well-drained soil,yes,Edible fruit; peach,no,,pink,Spring,3,5,pink,#E8829A,Prunus persica
Sand Cherry,Prunus pumila,,Shrub,Native,No,Spring Flowers,Tall,Full Sun,Dry,Low suckering native shrub; good for sandy soils,https://inaturalist-open-data.s3.amazonaws.com/photos/2241283/medium.JPG,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Shrub,6,,high,medium,medium,mild,mild,mild,unknown,avoid,avoid,August,September,Small purple drupes; clean pulp; cold stratify,400,Division not practical; best from softwood cuttings in summer,yes,Edible fruit; sand cherry,no,,white,Spring,3,5,white,#FFFFFF,Prunus pumila
Japanese plum,Prunus salicina,,Tree,Non-native,No,Fruit,Small Tree,Full Sun,Mesic,Ornamental/fruit hybrid,https://inaturalist-open-data.s3.amazonaws.com/photos/179593072/medium.jpg,,Anchor,N,Small,3 - OK,3 - OK,3 - OK,3 - OK,2 - Marginal,2 - Marginal,2 - Marginal,No,No,No,No,Tree,20,green,high,high,high,no,no,no,sensitive,tolerant,marginal,July,August,Early fruiting,400,Hybrid origin,yes,Edible fruit; Japanese plum,no,,white,Spring,3,5,white,#FFFFFF,Prunus salicina
Black Cherry,Prunus serotina,,Tree - Large,Native,No,Spring / Fall,Structural,Full Sun–Part Sun,Mesic,Wildlife fruit + early successional,https://inaturalist-open-data.s3.amazonaws.com/photos/14006/medium.jpg,,Woody,M,Large,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,50,dark green,high,medium,medium,yes,yes,yes,tolerant,marginal,marginal,August,September,Black cherries; clean pulp; cold stratify,400,Best grown from fresh seed; difficult to transplant,with caveats,Fruit edible; pits toxic — do not eat,no,,white,Early Spring,2,3,white,#FFFFFF,Prunus serotina
Chokecherry (aka Black Chokecherry),Prunus virginiana,,Tree - Small,Native/Non-Native Hybrid,No,Summer Foliage + Fruit,Structural,Full Sun–Part Sun,Dry–Mesic,Leaf color shifts; hybrid maintains wildlife value,https://inaturalist-open-data.s3.amazonaws.com/photos/146282563/medium.jpg,,,,,4 - Strong,2 - Marginal,4 - Strong,3 - OK,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Tree,20,,high,medium,medium,yes,yes,yes,unknown,marginal,marginal,August,September,Dark cherries; clean pulp; cold stratify,400,Division not practical; best from softwood cuttings in summer,with caveats,Fruit edible cooked; raw fruit very astringent,no,,white,Spring,3,5,white,#FFFFFF,Prunus virginiana
Red-leaved Chokecherry,Prunus virginiana 'Schubert',,Tree - Small,Native/Non-Native Hybrid,No,Foliage + Fruit,Structural,Full Sun–Part Sun,Dry–Mesic,Purple foliage form; good alternative to purple-leaf plum,,,,,,4 - Strong,2 - Marginal,4 - Strong,3 - OK,3 - OK,1 - Don't Use,4 - Strong,No,No,No,No,Tree,20,purple | burgundy,high,medium,medium,yes,yes,yes,unknown,marginal,marginal,August,September,Dark cherries; clean pulp; may not come true,400,May not come true from suckers; best from cuttings,with caveats,Fruit edible cooked; raw fruit very astringent,no,,white,Spring,3,5,white,#FFFFFF,Prunus virginiana 'Schubert'
Rabbit Tobacco,Pseudognaphalium obtusifolium,,Flowering Perennial,Native,No,Fall / Winter,Mid,Full Sun,Dry,Fragrant woolly annual or biennial of dry open disturbed sites. Persistent fluffy seed heads provide winter interest. Pioneer species — excellent for difficult dry post-construction sites.,https://inaturalist-open-data.s3.amazonaws.com/photos/50664937/medium.jpg,,Matrix,N,Small,4 - Strong,5 - Best Fit,4 - Strong,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Fluffy achenes — collect before dispersal,10,Annual/biennial — grow from seed; reseeds readily in disturbed ground,no,,no,,white | cream,Late Summer–Fall,8,10,white | cream,#FFFFFF,Pseudognaphalium obtusifolium
Lungwort,Pulmonaria saccharata,,Flowering Perennial,Safe Non-Native,Partly,Spring,Low,Part Sun–Shade,Mesic,"spotted foliage, early pollinator nectar",https://inaturalist-open-data.s3.amazonaws.com/photos/17686835/medium.jpeg,,,,,2 - Marginal,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,1,variegated green/white,low,low,low,no,no,no,unknown,marginal,marginal,May,June,Small capsules; collect promptly,0,Divide in early spring; spreads slowly,no,,with caveats,Traditional herbal use for respiratory complaints,blue | pink,Early Spring,2,3,blue | pink,#4A7FC1,Pulmonaria saccharata
Appalachian mountain mint,Pycnanthemum flexuosum,,Perennial,Native,No,Flowers,Medium,Full Sun–Part Shade,Mesic–Dry,Aromatic pollinator plant,https://inaturalist-open-data.s3.amazonaws.com/photos/5355612/medium.jpg,,Midstory,Y,Medium,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,green,low,low,low,no,no,no,tolerant,tolerant,tolerant,July,September,Spreads moderately,20,Rhizomatous,with caveats,Aromatic leaves used as herb and tea,no,,white,Summer,6,8,white,#FFFFFF,Pycnanthemum flexuosum
Mountain Mint (Broadleaf),Pycnanthemum muticum,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun–Part Sun,Mesic,"Smothers invasives, bee frenzy",https://static.inaturalist.org/photos/47735589/medium.jpg,,Matrix,M,Small,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,silver,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Small nutlets; strip from dried stem,20,"Ground layering works well — pin a low branch to moist acidic soil in spring, sever the following year.",with caveats,Aromatic leaves used as herb and tea,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Pycnanthemum muticum
Mountain Mint (Narrowleaf),Pycnanthemum tenuifolium,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun–Part Sun,Dry–Mesic,Fine texture pollinator draw,https://inaturalist-open-data.s3.amazonaws.com/photos/228203253/medium.jpeg,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,3 - OK,3 - OK,3 - OK,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,blue-gray,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Small dry nutlets in clusters,20,"Live staking works — cut stems with several nodes in late winter, push into moist soil. Also grows easily from hardwood cuttings or layering.",with caveats,Aromatic leaves used as herb and tea,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Pycnanthemum tenuifolium
Slender Mountain Mint,Pycnanthemum verticillatum var. pilosum,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun–Part Sun,Dry–Mesic,Rare bee specialist,,,Matrix,M,Small,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Small nutlets; strip from dried stem,20,"Ground layering works — pin a low branch to moist soil in spring, sever the following year. Division not practical; best from softwood cuttings in summer.",with caveats,Aromatic leaves used as herb and tea,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Pycnanthemum verticillatum var. pilosum
Pear,Pyrus communis,,Tree,Non-native,No,Fruit + flowers,Small Tree,Full Sun,Mesic,Common fruit tree,https://static.inaturalist.org/photos/17253854/medium.jpeg,,Anchor,N,Medium,3 - OK,3 - OK,3 - OK,3 - OK,2 - Marginal,2 - Marginal,2 - Marginal,No,No,No,No,Tree,25,green,high,high,medium,no,no,no,sensitive,tolerant,marginal,August,September,Fruit ripens late summer,60,Requires pruning,yes,Edible fruit; pear,no,,white,Spring,3,5,white,#FFFFFF,Pyrus communis
White Oak,Quercus alba,,Tree - Large,Native,No,Summer / Fall,Structural,Full Sun,Dry–Mesic,Long lived + high wildlife value,https://inaturalist-open-data.s3.amazonaws.com/photos/23571211/medium.jpg,,Woody,N,Large,3 - OK,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,80,,high,medium,low,mild,mild,mild,tolerant,avoid,avoid,September,October,Acorns; collect fresh,500,Best grown from fresh acorns; taproot resents transplanting,with caveats,Acorns edible after leaching tannins,no,,,Early Summer,5,6,,,Quercus alba
Swamp White Oak,Quercus bicolor,,Tree - Large,Native,No,Winter,Structural,Full Sun–Part Sun,Mesic–Moist,Thrives near moisture,https://inaturalist-open-data.s3.amazonaws.com/photos/314396075/medium.jpg,,Woody,N,Large,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,60,,high,medium,low,mild,mild,mild,tolerant,avoid,avoid,September,October,Acorns; collect fresh,500,Best grown from fresh acorns; taproot resents transplanting,with caveats,Acorns edible after processing; lower tannins than red oaks,no,,,N/A,,,,,Quercus bicolor
Scarlet Oak,Quercus coccinea,,Canopy Tree,Native,No,Fall Color,Canopy,Full Sun,Dry–Mesic,Oak species,https://inaturalist-open-data.s3.amazonaws.com/photos/45942614/medium.jpeg,,Woody,N,Large,5 - Best Fit,5 - Best Fit,4 - Strong,3 - OK,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,70,red,high,high,high,no,no,no,tolerant,tolerant,tolerant,September,October,Acorns edible after processing,500,Seed,with caveats,Acorns edible after leaching tannins,no,,green,Spring,3,5,green,#5A9E5A,Quercus coccinea
Bear oak,Quercus ilicifolia,,Shrub – Large,Native,N,Acorns,Large Shrub,Full Sun,Dry,Low scrub oak for sandy slopes,https://inaturalist-open-data.s3.amazonaws.com/photos/210295368/medium.jpeg,,Dry slope specialist,N,Medium,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Shrub,6,,high,medium,low,mild,mild,mild,tolerant,marginal,avoid,September,October,Acorns; collect fresh; don't let dry out,500,Best grown from fresh seed or purchased; slow to establish,with caveats,Acorns edible after leaching tannins,no,,,Spring,3,5,,,Quercus ilicifolia
Bur oak / Bottomland Bur Oak,Quercus macrocarpa,,Tree - Large,Native,N,High wildlife value,Large Tree,Full Sun,Dry to Mesic,Extremely resilient oak,https://inaturalist-open-data.s3.amazonaws.com/photos/56307945/medium.jpg,,Canopy structure,N,Large,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,80,,high,medium,low,mild,mild,mild,tolerant,avoid,avoid,September,October,Large acorns; collect fresh; don't dry out,500,Best grown from fresh acorns; taproot resents transplanting,with caveats,Acorns edible after minimal processing; low tannins,no,,,Spring,3,5,,,Quercus macrocarpa
Chestnut Oak,Quercus montana,,Canopy Tree,Native,No,Fall Color,Canopy,Full Sun,Dry–Mesic,Ridge oak,https://inaturalist-open-data.s3.amazonaws.com/photos/151750720/medium.jpeg,,Woody,N,Large,5 - Best Fit,5 - Best Fit,4 - Strong,3 - OK,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,70,green,high,high,high,no,no,no,tolerant,tolerant,tolerant,September,October,Acorns edible after processing,500,Seed,with caveats,Acorns edible after processing,no,,green,Spring,3,5,green,#5A9E5A,Quercus montana
Pin oak,Quercus palustris,,Tall Canopy Tree,Native,N,Acorns,Large Tree,Full Sun,Moist to Mesic,Common floodplain oak,https://inaturalist-open-data.s3.amazonaws.com/photos/19499393/medium.jpg,,Canopy structure,N,Large,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,Yes,Tree,70,,high,medium,low,mild,mild,mild,tolerant,avoid,avoid,September,October,Acorns; collect fresh,500,Best grown from fresh acorns; taproot resents transplanting,with caveats,Acorns edible after leaching tannins,no,,,Spring,3,5,,,Quercus palustris
Red Oak,Quercus rubra,,Tree - Large,Native,No,Fall,Structural,Full Sun,Dry–Mesic,"Keystone oak, supports 400+ Lepidoptera",https://inaturalist-open-data.s3.amazonaws.com/photos/301028109/medium.jpeg,,Woody,N,Large,3 - OK,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,75,,high,medium,low,mild,mild,mild,tolerant,marginal,marginal,September,October,Acorns; collect fresh; don't let dry out,500,Best grown from fresh acorns; taproot resents transplanting,with caveats,Acorns edible after leaching tannins,no,,,N/A,,,,,Quercus rubra
Black oak,Quercus velutina,,Tree - Large,Native,N,Acorns for wildlife,Large Tree,Full Sun,Dry to Mesic,Sandy soil preference,https://inaturalist-open-data.s3.amazonaws.com/photos/99295929/medium.jpg,,Canopy structure,N,Large,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Tree,70,,high,medium,low,mild,mild,mild,tolerant,avoid,avoid,September,October,Acorns; collect fresh,500,Best grown from fresh acorns; difficult to transplant,with caveats,Acorns edible after leaching tannins,no,,,Spring,3,5,,,Quercus velutina
Smooth Azalea,Rhododendron arborescens,,Flowering Shrub,Native,No,Fragrance,Structural,Part Sun–Shade,Mesic,White fragrant blooms; stream edges preferred,https://inaturalist-open-data.s3.amazonaws.com/photos/211468/medium.JPG,,Woody,N,Medium,4 - Strong,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Shrub,10,,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Small dry capsules; shake into bag,20,Layer low branches in spring; roots in one season,no,Toxic,no,,white,Early Summer,5,6,white,#FFFFFF,Rhododendron arborescens
Flame Azalea,Rhododendron calendulaceum,,Flowering Shrub,Near-Native,No,Spring Flowers,Structural,Part Sun–Shade,Mesic,One of the most spectacular flowering native shrubs in North America — flowers range from yellow to deep orange to scarlet. Native to Appalachian mountain slopes; performs well in MA in acidic woodland-edge conditions. Needs acidic soil. All parts toxic.,https://static.inaturalist.org/photos/23050389/medium.jpg,,Woody,N,Medium,2 - Marginal,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,No,Yes,No,Shrub,10,,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Small dry capsules; shake into bag when dry,20,"Ground layering is most reliable — pin a low branch to moist acidic soil in spring, sever the following year. Also from fresh seed though slow. Difficult from cuttings.",no,Toxic,no,,orange | yellow | red,Late Spring–Early Summer,5,6,orange | yellow | red,#F4741E,Rhododendron calendulaceum
Catawba Rhododendron,Rhododendron catawbiense,,Broadleaf Evergreen,Native,Yes,Spring Flowers,Structural,Part Sun–Shade,Mesic,Hardy rhody with purple tones,https://inaturalist-open-data.s3.amazonaws.com/photos/86538698/medium.jpg,,Woody,N,Medium,3 - OK,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,No,No,Yes,No,Shrub,10,dark green,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Capsules ripen in fall; shake into bags,20,"Ground layering works well — pin a low branch to moist soil in spring, sever the following year once rooted. Also layer low branches; easy from cuttings.",no,Toxic,no,,purple | pink,Late Spring,4,5,purple | pink,#7B4EA0,Rhododendron catawbiense
Labrador tea,Rhododendron groenlandicum,,Shrub,Native,Yes,Evergreen + flowers,Low,Part Shade–Shade,Moist,Bog shrub,https://inaturalist-open-data.s3.amazonaws.com/photos/44570815/medium.jpeg,,Woody,N,Small,2 - Marginal,1 - Don't Use,2 - Marginal,5 - Best Fit,4 - Strong,3 - OK,1 - Don't Use,Yes,Yes,Yes,Yes,Shrub,3,dark green,medium,medium,low,yes,yes,yes,unknown,tolerant,avoid,June,July,Bog species,20,Needs acidic wet soils,no,,with caveats,Labrador tea; traditional medicinal use; caution with dosage,white,Spring,3,5,white,#FFFFFF,Rhododendron groenlandicum
Great Laurel,Rhododendron maximum,,Broadleaf Evergreen,Native,Yes,Foliage + Flowers,Structural,Part Sun–Shade,Mesic–Moist,Large evergreen rhody; prefers acidic moist woods,https://inaturalist-open-data.s3.amazonaws.com/photos/44459098/medium.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/2023-06-21_09_44_21_Rosebay_Rhododendron_flowers_along_Perry_Drive_in_the_Mountainview_section_of_Ewing_Township%2C_Mercer_County%2C_New_Jersey.jpg/1920px-2023-06-21_09_44_21_Rosebay_Rhododendron_flowers_along_Perry_Drive_in_the_Mountainview_section_of_Ewing_Township%2C_Mercer_County%2C_New_Jersey.jpg?_=20230621144934,Woody,N,Large,3 - OK,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Shrub,15,dark green,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Capsules ripen in fall; shake into bags,20,"Ground layering works well — pin a low branch to moist soil in spring, sever the following year once rooted. Also layer low branches; easy from cuttings.",no,Toxic,no,,white | pink,Late Spring–Summer,5,7,white | pink,#FFFFFF,Rhododendron maximum
Pinxterbloom Azalea,Rhododendron periclymenoides,,Flowering Shrub,Native,No,Spring Flowers,Structural,Part Sun–Shade,Mesic,Loves dappled shade; pink blooms,https://inaturalist-open-data.s3.amazonaws.com/photos/69075198/medium.jpg,,Woody,N,Small,3 - OK,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,6,,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Small dry capsules; shake into bag,20,Layer low branches in spring; roots in one season,no,Toxic,no,,pink | white,Spring,3,5,pink | white,#E8829A,Rhododendron periclymenoides
Roseshell Azalea,Rhododendron prinophyllum,,Flowering Shrub,Native,No,Spring Fragrance,Structural,Part Sun–Shade,Mesic,Sweetly scented rose-pink flowers,https://inaturalist-open-data.s3.amazonaws.com/photos/3904098/medium.jpg,,Woody,N,Small,4 - Strong,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,3 - OK,3 - OK,Yes,No,Yes,No,Shrub,8,,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Small dry capsules; shake into bag,20,Layer low branches in spring; roots in one season,no,Toxic,no,,pink,Late Spring,4,5,pink,#E8829A,Rhododendron prinophyllum
Swamp Azalea,Rhododendron viscosum,,Flowering Shrub,Native,No,Fragrance,Structural,Part Sun–Shade,Mesic–Moist,Tolerates wet soils; fragrant white blooms,https://static.inaturalist.org/photos/42976725/medium.jpg,,Woody,N,Medium,4 - Strong,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Shrub,8,,low,low,low,yes,yes,yes,unknown,tolerant,marginal,September,October,Small dry capsules; shake into bag,20,Layer low branches in spring; roots in one season,no,Toxic,no,,white,Early Summer,5,6,white,#FFFFFF,Rhododendron viscosum
Aromatic sumac,Rhus aromatica,,Shrub – Large,Native,N,Red fall color,Shrub,Full Sun to Part Shade,Dry to Mesic,Low spreading shrub; good edge filler,https://inaturalist-open-data.s3.amazonaws.com/photos/83876598/medium.jpeg,,Understory fill,Y,Small to Medium,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Shrub,6,,low,low,low,no,no,no,tolerant,marginal,avoid,August,September,Red drupes; clean pulp; cold stratify,30,Divide suckers in early spring; spreads by rhizome,with caveats,Berries used to make lemonade-like drink,no,,yellow,Spring,3,5,yellow,#F9C820,Rhus aromatica
